conceptType,conceptUri,skillType,reuseLevel,preferredLabel,altLabels,description
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0005c151-5b5a-4a66-8aac-60e734beb1ab,skill/competence,sector-specific,manage musical staff,,"Assign and manage staff tasks in areas such as scoring, arranging, copying music and vocal coaching."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00064735-8fad-454b-90c7-ed858cc993f2,skill/competence,occupation-specific,supervise correctional procedures,,"Supervise the operations of a correctional facility or other correctional procedures, ensuring that they are compliant with legal regulations, and ensure that the staff complies with regulations, and aim to improve the facility's efficiency and safety."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000709ed-2be5-4193-b056-45a97698d828,skill/competence,sector-specific,apply anti-oppressive practices,,"Identify oppression in societies, economies, cultures, and groups, acting as a professional in an non-oppressive way, enabling service users to take action to improve their lives and enabling citizens to change their environment in accordance with their own interests."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0007bdc2-dd15-4824-b7d6-416522c46f35,skill/competence,sector-specific,control compliance of railway vehicles regulations,,"Inspect rolling stock, components and systems to ensure compliance with standards and specifications."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00090cc1-1f27-439e-a4e0-19a87a501bfc,skill/competence,cross-sector,identify available services,,"Identify the different services available for an offender during probation in order to help in the rehabilitation and re-integration process, as well as advising the offenders as to how they can identify services available to them."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000bb1e4-89f0-4b86-be05-05ece3641724,skill/competence,cross-sector,perform toxicological studies,,"Perform tests to detect poisons or drug misuse and help to monitor therapy by using chemical reagents, enzymes, radioisotopes and antibodies to detect abnormal chemical concentrations in the body."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000c94d2-2a2e-4545-993c-6df8cb5b0316,skill/competence,occupation-specific,ensure coquille uniformity,,Oversee uniformity of coquilles; use casting equipment and tools such as welding machines.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,knowledge,sector-specific,Haskell,,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Haskell."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0023e7a5-43da-4b68-bee3-726ef21f986d,skill/competence,cross-sector,apply diplomatic principles,,"Apply the processes involved in the creation of international treaties by conducting negotiations between representatives of different countries, protecting the home government's interests, and facilitating compromise."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00298d97-3dc3-4086-a902-bce0a2fba831,skill/competence,sector-specific,lead police investigations,,"Lead investigations in police cases, which involves establishing an investigation strategy, contacting experts, being able to use different methods and points of view, and leading investigative staff."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/002b2e58-35ab-460c-be97-ca2f585fd990,skill/competence,sector-specific,handle fish harvesting waste,,"Dispose of waste, blood and inferior quality fish according to site waste management procedures."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c,skill/competence,cross-sector,develop energy saving concepts,,"Use current research results and collaborate with experts to optimize or develop concepts, equipment, and production processes which require a lesser amount of energy such as new insulation practices and materials."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/004017c9-0337-4f5a-8077-798de9ef12e3,skill/competence,sector-specific,perform street interventions in social work,,"Conduct outreach activities by providing direct information or counseling services to individuals in their neighbor hood or in the streets, usually targeted at youth or homeless people."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/004f1e68-9ca2-4f3f-92d9-e7d7ff6b9330,skill/competence,sector-specific,work with soloists,,Communicate with solo artists and concert masters to discuss and prepare for performances.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00506f28-e884-4496-800c-3477c67eb355,knowledge,cross-sector,sport and exercise medicine,,Prevention and treatement of injuries or conditions resulted from a physical activity or sport.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0058526a-11e9-40a1-ab33-7c5ffdf5da05,skill/competence,sector-specific,conduct research on flora,,"Collect and analyze data about plants in order to discover their basic aspects such as origin, anatomy, and function."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f,skill/competence,cross-sector,install heat pump,,"Install heat pumps, which use the physical properties of substances called refrigerants to extract heat from an environment and release it to a warmer environment, counter to spontaneous heat flow. Create the necessary openings and install the indoors and outdoors parts of the heat pump. Connect electricity and any ducts, and configure the heat pump."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00831ebb-bac3-4bd1-8dae-2bca67be958d,skill/competence,occupation-specific,handle equipment while suspended,,"Safely operate hand equipment while suspended on a rope. Take on a secure and stable position before starting the operation. After finishing, store the equipment safely, usually by attaching it to a belt buckle."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0085e6bd-6829-4e8e-b302-842a7fe57ed9,skill/competence,cross-sector,teach housekeeping skills,,Teach housekeeping as well as manual skills aiming to improve everyday tasks and life circumstances.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/008a0e0d-7380-4b31-abe5-0195e700f8c0,skill/competence,sector-specific,check train engines,,Ensure that train engines comply with regulations before commencing a journey.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/009673d9-e2fd-46ef-a64b-6027ac7fd613,skill/competence,sector-specific,manufacture ingredients,,"Manufacture ingredients such as spices, additives and vegetables."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00994812-ac9e-4856-954b-f71bcc6066bb,skill/competence,occupation-specific,maintain aquaculture ponds,,"Clean equipment and treatment tools. Drain and clean aquaculture ponds using brushes, chemicals, and water. Prepare holding containers for fish and change the nets. Conduct swimthroughs. Stock fish in holding units. Collect dead fish in holding units."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/009db49b-fcf5-4409-b4a5-232d059f3597,skill/competence,cross-sector,apply credit risk policy,,Implement company policies and procedures in the credit risk management process. Permanently keep company's credit risk at a manageable level and take measures to avoid credit failure.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00a4e92d-e410-42b8-ba2d-d7b3febf49e0,skill/competence,occupation-specific,handle customer requests related to cargo,,"Handle requests of port users and customers in the field of containers, shipping arrangements or cargo."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00abcddb-cbd4-477f-9aa0-9f27b32e312b,skill/competence,sector-specific,utilize advanced clinical skills,,"utilize advanced clinical skills in specific contexts, following specific training, in order to address the client`s needs."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,knowledge,sector-specific,Incremental development,,The incremental development model is a methodology to design software systems and applications.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00c51318-4ea9-4d37-9cd8-74680583d203,knowledge,occupation-specific,use of special equipment for daily activities,,"The types of special equipment, prosthetics and orthotics used to aid with performing daily activities, such as wheelchairs."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00c85cbc-2b24-4605-a6fe-55b5c615e3fe,knowledge,sector-specific,sawing techniques,,Various sawing techniques for using manual as well as electric saws.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00cd1d60-782f-48e7-9a7b-b518f2b146b8,skill/competence,sector-specific,produce guitar components,,"Choose the appropriate tonewood, materials and tools, and build the different guitar components such as the sound board, fretboard, headstock, neck and bridge."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00dd3271-077f-4a12-a958-e297fdd724ce,skill/competence,sector-specific,operate agricultural machinery,,"Operate motorized agricultural equipment including tractors, balers, sprayers, plows, mowers, combines, earthmoving equipment, trucks, and irrigation equipment."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00e261cc-669c-4b94-8950-d038eceb92d8,skill/competence,occupation-specific,control pyrotechnics stock,,"Control the stock of pyrotechnics, issuing them to workers and checking out the expiration period of the stock in order to remove the already expired pyrotechnics and place them into special metal containers from where they are further processed."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00e53a0a-c0ba-4c9f-a2ed-4706d5832a00,skill/competence,sector-specific,guarantee customer satisfaction,,"Handle customer expectations in a professional manner, anticipating and addressing their needs and desires. Provide flexible customer service to ensure customer satisfaction and loyalty."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00e895f4-b9d3-4a1a-8c36-baf10fbfb982,skill/competence,sector-specific,manufacture wearing apparel products,,"Manufacture either mass-product or bespoke wearing apparels of various types, assembling and joining together wearing apparel components using processes such as sewing, gluing, bonding. Assemble wearing apparel components using stitches, seams such as collars, sleeves, top fronts, top backs, pockets."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00eada7f-0b83-4f0c-af81-d7f92d838000,skill/competence,sector-specific,cure tobacco leaves,,"Remove the moisture out of the tobacco leaves directly after harvesting them through various processes such as air curing, flue curing or sun curing."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00ebb379-ce26-439a-ba89-9a7d1ef2f696,skill/competence,cross-sector,develop a rehabilitation program,,Develop a rehabilitation program to help patients rebuild their skills and restore their confidence.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00ec5333-e570-477b-9017-2e95fea0150a,skill/competence,sector-specific,maintain inventory of cleaning supplies,,"Follow the stock of cleaning materials, order new material when the stock is empty and closely follow their usage to maintain a constant supply."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00eefa32-9f77-4500-abe9-20afc7924a9d,knowledge,occupation-specific,cold vulcanization,,"Technique used to repair defective tires, especially bicycle tires, and consisting in grinding the area around the tear, applying a vulcanizing solution and fixing a patch to seal the tear."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00f12ec1-b416-4e3c-8ed7-c4f875c6b681,skill/competence,sector-specific,supervise housekeeping operations,,Oversee the day-to-day service and cleaning of rooms and public areas to ensure continuous operations.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00f2eee1-cd4d-4a45-ae10-b6060f53ad5d,skill/competence,cross-sector,act as contact person during equipment incident,,Act as the person to be contacted when an equipment incident occurs. Participate in the investigation by providing insights.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00fc7575-0cee-4b12-ade5-795cb2a4479a,skill/competence,sector-specific,manage time in landscaping,,"Plan and implement work schedules to fit in landscaping activities, which include the briefing phase where the landscape project is discussed with a client after which follow a series of sketches, plans and designs."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00ff06cc-103f-4c85-b5df-6f75acff6abf,skill/competence,sector-specific,advise customers,,"Give information to people regarding import and export restrictions, tariff systems and other custom-related topics."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/011711eb-f20b-4d64-84d7-17b8979946dc,skill/competence,occupation-specific,manage university department,,"Supervise and assess the university support practices, students' well-being, and teachers' performance."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0121ac3b-775b-4faf-b86d-0078623674bc,skill/competence,sector-specific,develop terminology databases,,Collect and submit terms after verifying their legitimacy in order to build up terminology databases on an array of domains.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01267c89-b27f-4de0-b555-3683c5a5d66e,skill/competence,sector-specific,assess nutritional characteristics of food,,Assess nutritional characteristics of food for human consumption for a better healthy diet.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/012795fe-5f85-4d12-a10e-9dabda4ea05f,skill/competence,occupation-specific,repair electric bicycles,,"Inspect the functioning of the electrical components, wiring, and fuses. Check for damage and malfunctions and determine the cause. Dismantle and repair bicycle components, such as add-on drives, switching systems, power supply systems and lightning systems. Adjust mechanical and electronic switchgear, drives, brake systems and chassis components. Check the bicycle's operating fluids and see if it needs refills or changes."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/012d6406-016a-4790-aeb8-853e61058517,skill/competence,sector-specific,maintain sorting equipment,,Perform routine maintenance as well as minor repairs on the equipment used for sorting waste and recyclable materials.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/012f9ad1-b95b-42f1-b2c7-3793cdbce443,skill/competence,sector-specific,explain features in accommodation venue,,Clarify guests' accommodation facilities and demonstrate and show how to use them.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0132ac4f-ffac-4396-8b56-052fde0c9d73,knowledge,sector-specific,types of barley,,"The different types of barley; their characteristics, and quality."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05,knowledge,sector-specific,KDevelop,,"The computer program KDevelop is a suite of software development tools for writing programs, such as compiler, debugger, code editor, code highlights, packaged in a unified user interface. It is developed by the software community KDE."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0138fdc7-edbb-485c-9aa9-544f723eb62f,skill/competence,sector-specific,carry out parts purchasing,,Order specific parts required for maintenance and repair of a wide variety of vehicles.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/013a64b9-5e74-4f7f-af5b-9ec76715238b,skill/competence,cross-sector,inspect offshore constructions,,Conduct regular inspections during and after the construction of offshore facilities such as oil platforms to ensure risk minimization and compliance with regulations.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01468114-b99c-4f48-9374-a520a7faa9c9,skill/competence,sector-specific,transport patient to medical facility,,"Assist in lifting and carrying of the patient into the emergency vehicle for transport, and into the receiving medical facility on arrival."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0156865e-5010-4908-8e0f-ce3aebc2d136,skill/competence,occupation-specific,adjust envelope cutting settings,,"Make sure that the right window cutting and patching standard are used. Prepare this by gumming on the blank with a dry patch and on the window material during its conveyance. Adjust on the basis of window, gum, and patch position and level of evenness."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0157feec-52c2-4764-b83d-2d017ce8e49d,skill/competence,sector-specific,prepare oils,,"Select the appropriate oils for the client, mix and blend them in order to create individualized compounds with specific needs and ratios for clients, keeping records of applied treatments and the blends used during the therapy."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/015b0162-6dd3-4d46-bbfd-325086155dd5,skill/competence,sector-specific,purchase supplies,,Purchase and replenish supplies; make sure that all required goods are available in stock.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/015cd017-b146-4c9d-ab10-5dfca451c30a,skill/competence,sector-specific,pursue excellence in the creation of food products,,Try to develop food products in their most qualitative form possible.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0162b701-6bb4-400a-b557-7996053d7daf,skill/competence,sector-specific,maintain personal hygiene standards when cleaning,,"Make sure to keep yourself clean and tidy and wear protective equipment when performing cleaning activities, as required by the health and safety procedures of the task or the organization."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0167ee96-f478-4383-afe6-aabf387da5b3,skill/competence,cross-sector,liaise with typists,,"Give instructions to typists about the addressees, the appropriate format, the number of copies required, etc. for them to type the final documents."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/016cee6c-9e95-466c-bd51-d63327751aa2,skill/competence,sector-specific,assess railway operations,,"Review and study existing railroad equipment, facilities, systems and processes in order to improve railway safety and efficiency, increase quality, and reduce costs."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/016e7bf4-fe86-4a1f-ace1-54e5b697293d,skill/competence,occupation-specific,practice  extreme sports,,"practice action sports considered to have a high level of inherent danger and involving speed, height, a high level of physical exertion, and highly specialized gear."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0174a9e6-bf12-4ac3-bfc3-0a5469410f18,skill/competence,occupation-specific,provide chaperone for children on set,,Make sure there is always a chaperone present on the set when recruiting underage children to perform in a motion picture.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01755f08-4df4-4cf0-8d22-08f94cad68b5,skill/competence,cross-sector,organize labor,,"organize, allocate and coordinate members of the team. organize production programs and plan the production and sales. Purchase materials and equipment. Manage stocks."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/017738e7-7d12-4e87-a580-8523405bab96,skill/competence,sector-specific,use glass engraving tools,,"Use engraving tools which use steel, stone or copper wheels according to the kind of glass or glassware."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/017d3b78-ebfa-431d-acc5-8050e9b0fdc8,skill/competence,sector-specific,operate wrecking ball,,Use a wrecking ball to demolish a structure or parts of it. Hoist the wrecking ball into the air with a crane. Drop the ball or swing it in a controlled manner to hit the structure. Prevent misses as the weight and momentum of the ball may destabilize the crane.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/018164df-2814-4926-bdf7-398d86b9dfe6,skill/competence,cross-sector,evaluate garment quality,,"Evaluating stitching, construction, attachments, fasteners, embellishments, shading within the garment; evaluating pattern continuity-, matching; evaluating tapes and linings."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01819474-b960-4b8f-b020-2da26518d43a,skill/competence,occupation-specific,apply for refunds,,"Make inquiries at the supplier in order to return, exchange or refund goods."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0189f448-179e-47cc-9716-c5c3ac4b1aec,knowledge,sector-specific,Absorb,,"The learning system Absorb is an e-learning platform for creating, administrating and delivering e-learning education courses or training programs for high school students."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0194a8eb-c262-411a-ad3f-f3d587630562,skill/competence,occupation-specific,perform small vessel administrative duties,,"fulfill administrative and labor requirements. Plan provisioning, receipt and stowage. Release the ship in accordance with current regulations."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0196d283-9b1a-43a5-b219-43580c7cf560,knowledge,sector-specific,cosmetics ingredients,,A variety of sources cosmetics are composed of ranging from crushed insects to rust.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01a6e6ae-32d5-440a-bdb3-c9ed8a1f57c0,knowledge,occupation-specific,human dynamics as part of hospitality security,,The characteristics of human behavior and human interaction and dynamics to ensure their security in hospitality establishment.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01c03003-516d-43c6-8477-45c472413521,skill/competence,cross-sector,advise on construction materials,,Provide advice on and test a wide range of construction materials.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01c4bbed-0449-44c9-9c05-48c30ffdcc22,skill/competence,sector-specific,maintain rotating equipment,,"Perform routine maintenance on rotating equipment to ensure that it is clean and in safe, working order."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01cea4d4-41fa-42a2-9bf7-7ba0a8f439c1,skill/competence,occupation-specific,manage volunteers in second-hand shop,,coordinate a staff of volunteers for duties in a second-hand store.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01d3d692-dcba-4544-82d2-fc27726bdbbc,skill/competence,occupation-specific,pump products for storage,,Storage tanks for processing bleached paper pulp or other equipment for further steps in the papermaking procedure.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01d80f57-3906-44e9-8592-fd1bd8a35808,knowledge,sector-specific,medico-biological and medical sciences related to dentistry,,"The behavioral component and the social environment which impact the health of humans, in respect to dentistry."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01e5d2e2-d368-4fb9-9be9-9923146482c4,skill/competence,sector-specific,attend to detail in casting processes,,Attend in the metal processing casting work to specificities and details concerning the quality of the casting and molds.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01e66e1c-97d9-4829-bee1-f3ab649161e8,knowledge,cross-sector,biomedical science,,The principles of the natural sciences applied to medicine. Medical sciences such as medical microbiology and clinical virology apply biology principles for medical knowledge and invention.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01e7dee7-3ff1-4807-acad-058dbed91aba,skill/competence,sector-specific,keep up to date on product knowledge,,"Gather the latest information on developments related to the existing or supported products, methods or techniques."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01f10952-cb59-4347-9aee-d4fbc51c870a,skill/competence,transversal,write Hungarian,,Compose written texts in Hungarian.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01f91b5b-3e2f-40a2-ab88-bc8113c0ab37,skill/competence,sector-specific,monitor drilling fluid,,"Monitor and maintain the drilling fluids, or ""mud"". Add different chemicals to the fluid to perform various function in well operations: keep the drill bit cool, provide hydrostatic pressure, etc."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01faf296-e037-494c-bb1c-65bda5aed750,skill/competence,sector-specific,develop efficiency plans for maritime shipping,,Arrange the most efficient use of cargo space and vessel movement; monitor the number of available cranes and dock space; and assess the physical condition of ships and impact of cargo weight on the stability of ships.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01fec851-b5f4-419b-940a-3b4c835adfa8,skill/competence,cross-sector,tend packaging machines,,"Tend packaging machines such as filling, labeling, and sealing machines. Stock and sort products to be processed according to specifications. Replenish packaging supplies as required, such as boxes, cartons, wrapping paper, plastic sheet, glue, ink, or labels."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01ffbbf3-0c62-45e0-92d9-01a86dc7c81d,skill/competence,occupation-specific,advise on clay products handling,,Advise other workers on the covering of end-products with tarpaulin.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0200e5e6-218d-4dae-b1ab-250382250ecb,skill/competence,sector-specific,maintain drilling equipment,,Maintenance and repair of a variety of drilling equipment.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02053349-bc3a-4945-bcf7-33d2136c14d5,skill/competence,sector-specific,control tree diseases,,Identify diseased or undesirable trees. Remove them using power saws or hand saws.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0207f83d-a1e4-4b47-b80c-84d41257791f,skill/competence,sector-specific,analyze  the artistic concept based on stage actions,,"analyze the artistic concept, form and structure of a live performance based on observation during rehearsals or improvisation. Create a structured base for the design process of a specific production."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/020918ef-4b55-47c1-8430-ab7b8f6a7377,skill/competence,sector-specific,migrate existing data,,"Apply migration and conversion methods for existing data, in order to transfer or convert data between formats, storage or computer systems."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/020b3c27-bae1-4b85-9d6f-eccee0f5ed99,skill/competence,cross-sector,manage supplies,,"Monitor and control the flow of supplies that includes the purchase, storage and movement of the required quality of raw materials, and also work-in-progress inventory. Manage supply chain activities and synchronize supply with demand of production and customer."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02137a68-6860-45e8-8e4d-38db467bb8b6,knowledge,sector-specific,human factors regarding safety,,The considerations and implications for human safety.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/021cf226-3dac-4712-9738-24bf0952c064,skill/competence,sector-specific,perform roof maintenance,,"Inspect the roof or facade cladding to assess its general state and identify any damage, recommend and perform maintenance and repair work such as fixing broken shingles, replacing flashing, clearing debris and securing the gutters."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0227a4f4-f979-4e5a-bd11-93744f339246,knowledge,sector-specific,types of digesters,,"This includes the stationary and rotary steam digesters, which cook wood chips in an acid solution to make pulp for use in the manufacture of paper."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad,skill/competence,sector-specific,define database physical structure,,"Specify the physical configuration of database files on a given media. This consists of in-detail specifications of indexing options, data types and data elements placed in the data dictionary."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0232e2ee-5535-46e0-9c64-ea80c896c62f,skill/competence,occupation-specific,lay stones,,"Place stone blocks or paving stones, which have been cut to the right size and thickness beforehand, to build stone walls and stairs, to lay pavement or to insert door and window frames."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0234bf2c-0483-4953-be59-edc2fcdd9e4b,skill/competence,occupation-specific,assemble circus rigging equipment,,Assemble and fit-up circus rigging equipment based on instruction or technical rider or description.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/023e4b09-a193-4c2b-9009-f7dc9326a19b,skill/competence,occupation-specific,perform oral health diagnosis,,"Inquire about the state of oral hygiene, perform an examination, do imaging investigations and interpret the findings to set a diagnosis."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/023f4870-b417-4bd2-b0ae-78e61587c79f,knowledge,cross-sector,geomatics,,"The scientific discipline that studies gathering, storing, and processing geographic information."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/023faef3-0633-436d-8b91-389c45c1421c,knowledge,cross-sector,contamination exposure regulations,,"The regulations concerning exposure to contaminated materials or a hazardous environment which regulate the actions surrounding risk assessment, minimization of further exposure, quarantine, and treatment of the exposed persons."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/024037ca-96a9-4cb8-ba86-2cd5a209c90a,knowledge,sector-specific,Maltego,,"The platform Maltego is a forensic application that uses data mining to deliver on overview of organizations' environment, testing security weaknesses of the system for potentially unauthorized access and demonstrates the complexity of infrastructure failures."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0240c5a8-d8ec-4cd5-948f-4649334c01b8,skill/competence,cross-sector,search historical sources in archives,,Search archives in order to find the sources needed for historical research.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/024910a2-1ee8-4f07-bac6-33b577d9392e,skill/competence,occupation-specific,supervise performers' fights,,"Communicate expectations and targeted results, transmit the fight sequences, and technical aspect of the fighting discipline, etc. Help the performers/dancers internalize the fights sequences and fighting techniques. Supervise them in action and motivate and help them them achieve their maximum potential. Make performers them aware of the associated risks. Get performers to rehearse fights."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0253b09a-7217-43fc-b62f-e6b23ffebac9,skill/competence,occupation-specific,develop script bible,,"Create a document, called the script or story bible, with all the information about the characters and settings of the story."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0256f6b0-f4a9-4c5e-9cfd-96d58a2a70fe,skill/competence,cross-sector,operate radio equipment,,"Set up and operate radio devices and accessories, such as broadcast consoles, amplifiers, and microphones. Understand the basics of radio operator language and, when necessary, provide instruction in handling radio equipment correctly."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02619401-8e21-46e5-8f19-204747fd755d,skill/competence,sector-specific,remove contaminated materials,,Remove materials and equipment which are contaminated with hazardous substances in order to protect the surroundings from further contamination and to treat or dispose of the contaminated materials.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/026db24f-6972-460b-a784-d34afaf8d498,skill/competence,cross-sector,inspect paint quality,,"Inspect paint to ensure it is of a good quality by testing the viscosity, homogeneity and other factors."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/027f47ba-2435-47dc-9fd3-5f05c6a52e93,knowledge,sector-specific,styles of boxes,,Different styles of boxes in Europe. These are defined by a 4-digit code and specified by the European Federation of Corrugated Board Manufacturers (FEFCO). The styles are more an example of complicated and special box designs.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02820870-3b92-480b-8475-8a521563ea3c,skill/competence,sector-specific,collect property financial information,,"Collect information concerning the previous transactions involving the property, such as the prices at which the property had been previously sold and the costs that went into renovations and repairs, in order to obtain a clear image of the property's value."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0295b2a4-fb86-495f-9547-d479532fc4c2,skill/competence,cross-sector,trace financial transactions,,"Observe, track and analyze financial transactions made in companies or in banks. Determine the validity of the transaction and check for suspicious or high-risk transactions in order to avoid mismanagement."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/029e2bb0-6dd8-4600-bb89-ac7480ae8fb0,skill/competence,sector-specific,contribute to quality physiotherapy services,,"Participate in activities that promote quality, particularly in the acquisition and evaluation of equipment, resources, safe storage and supply management."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02a78cf3-8b31-4911-bcad-c989a1b7ff40,skill/competence,occupation-specific,install radtors,,Install heat exchangers that transfer thermal energy to heat or cool their environment. Connect the pipes to the central heating system.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02ae2a55-4b7c-41d2-86ec-9a2a38b73fe6,skill/competence,sector-specific,advise customers on usage of care products for pets,,"Provide advice on basic care products, such as supplements and vitamins, that can be used on various types of pets."
